EPE  List of violations found by TARA screening [TARA Ver 2301.2.0.0 64-bit - Fri Jul 21 13:12:24 2023]

 Loadflow Case: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\22SSWG_2025_SUM1_U1_04-study.raw
 Study Data File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\SUB.sub
 Contingency File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\AllERCOTcontingencies.con (total 28174 contingencies)
 Monitor File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\MON.mon
 Exclude File: not provided
 Pre/Post Contingency PAR Adjustment: Adjusted/Fixed

 6123 violations for snapshot 22SSWG_2025_SUM1_U1_04-study.raw
Index of Constraint, Monitored Facility                                    , Cont ID, Cont Name                                                      ,Type,   Rating,   Flow MW, Loading%, Head-Room, TotRedis,# of Harmer Up,# of Helper Down,# of External Harmer Up,Dfax Transfer,MW Transfer,MW Impact,Harmer Type,Harmer Max MW,Harmer Base MW,Harmer Bus#,BusName     ,Harmer Machine ID,Harmer Dfax Swing Ref,AreaName    ,ZoneName    ,Helper Type,Helper Max MW,Helper Base MW,Helper Room To Move Down MW (May have negative Pmin),Helper Bus#,BusName     ,Helper Machine ID,Helper Dfax Swing Ref,AreaName    ,ZoneName    ,
6053,999967 21INR0428A    345   46020 LIMEST_POI_5  345  50 ,28123,DB_ID_46398,P7,   2438.0,    872.5,    35.79,   1565.5,     161.0,   1,   1,   0,   0.63779,    224.79,    143.37,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.59486,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.04293,,,
6054, 46295 RTHWOD__A138  138   46051 LOUETA_T66_8  138  66 ,12498,DB_ID_20548,P2,    580.0,    229.7,    39.60,    350.3,     166.1,   1,   1,   0,   0.01384,    224.79,      3.11,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.03219,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,   0.01836,,,
6055,  1907 VENUS_N5      345   11885 EVRMNTIE3_5   345  1  ,28143,DB_ID_47388,P7,   1072.0,    425.0,    39.65,    647.0,     169.1,   2,   1,   0,   0.02227,    140.91,      3.14,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.00286,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.01940,,,
6055,  1907 VENUS_N5      345   11885 EVRMNTIE3_5   345  1  ,28143,DB_ID_47388,P7,   1072.0,    425.0,    39.65,    647.0,     169.1,   2,   1,   0,   0.02227,    224.79,      5.01,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.00286,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,   9859.09,Reference,,,  -0.01940,,,
6056, 46510 TOMBAL__B138  138   46511 TOMBAL_T66_8  138  66 ,12163,DB_ID_19317,P2,    382.0,    150.7,    39.45,    231.3,     182.1,   2,   1,   0,   0.01161,    140.91,      1.64,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.01533,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,   0.00372,,,
6056, 46510 TOMBAL__B138  138   46511 TOMBAL_T66_8  138  66 ,12163,DB_ID_19317,P2,    382.0,    150.7,    39.45,    231.3,     182.1,   2,   1,   0,   0.01161,    224.79,      2.61,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.01533,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,   9859.09,Reference,,,   0.00372,,,
6057,  1907 VENUS_N5      345   11885 EVRMNTIE3_5   345  1  ,19299,DB_ID_40279,P5,   1072.0,    425.5,    39.70,    646.5,     182.8,   2,   1,   0,   0.01789,    140.91,      2.52,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.00157,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.01631,,,
6057,  1907 VENUS_N5      345   11885 EVRMNTIE3_5   345  1  ,19299,DB_ID_40279,P5,   1072.0,    425.5,    39.70,    646.5,     182.8,   2,   1,   0,   0.01789,    224.79,      4.02,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.00157,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,   9859.09,Reference,,,  -0.01631,,,
6058, 11902 BRITTNRD2_5   345    1911 WEBB1_5       345  1  ,28098,DB_ID_45537,P7,   1792.6,    713.1,    39.78,   1079.5,     183.1,   1,   1,   0,   0.02150,    224.79,      4.83,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.00281,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.01868,,,
6059,    64 MILANO        138    3683 MINERVA1_8    138  1  , 3713,DB_ID_42814,P1,    214.0,     83.6,    39.05,    130.4,     197.6,   2,   1,   0,   0.01024,    140.91,      1.44,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.00528,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00496,,,
